CÓDIGO,DESCRIÇÃO,NOVO VALOR (HM),VALOR (CUSTO),AUXILIAR,PORTE,FILME
10101004,PROCEDIMENTOS GERAIS (CONSULTAS) - CONSULTA ,,,,,
10101012,Em consultório (no horário normal ou preestabelecido),76.4,0,0,0,0
10101039,Em pronto socorro,49.43,0,0,0,0
10102000,PROCEDIMENTOS GERAIS (CONSULTAS) - VISITAS,,,,,
10102019,Visita hospitalar (paciente internado),43.7,0,0,0,0
10103007,PROCEDIMENTOS GERAIS (CONSULTAS) - RECÉM-NASCIDO,,,,,
10103015,Atendimento ao recém-nascido em berçário,115.83,0,0,0,0
10103023,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco),168.92,0,0,0,0
10103031,Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de alto risco),168.92,0,0,0,0
10104003,PROCEDIMENTOS GERAIS (CONSULTAS) - VISITAS - UTI,,,,,
10104011,Atendimento do intensivista diarista (por dia e por paciente),28.96,0,0,0,0
10104020,Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente),144.79,0,0,0,0
10105000,PROCEDIMENTOS GERAIS (CONSULTAS) - REMOÇÃO / ACOMPANHAMENTO DE PACIENTE,,,,,
10105034,Transporte extra-hospitalar terrestre de pacientes graves. 1ª hora - a partir do deslocamento do médico,93.51,0,0,0,0
10105042,Transporte extra-hospitalar terrestre de pacientes graves. por hora adicional - até o retorno do médico à base,39.27,0,0,0,0
10105077,Acompanhamento médico para transporte intra-hospitalar de pacientes graves. com ventilação assistida. da UTI para o centro de diagnósitco,39.27,0,0,0,0
10106006,PROCEDIMENTOS GERAIS (CONSULTAS) - OUTROS,,,,,
10106014,Aconselhamento genético,108.32,0,0,0,0
10106030,Atendimento ao familiar do adolescente,20.4,0,0,0,0
10106049,Atendimento pediátrico a gestantes (3º trimestre),66.79,0,0,0,0
10106090,Junta Médica - pagamento de honorários médicos referente a 3ª opinião. conforme resolução Consu nº 8,197.71,0,0,0,0
10106146,Atendimento ambulatorial em puericultura,101.56,0,0,0,0
20101007,PROCEDIMENTOS CLÍNICOS (AMBULATORIAIS) - AVALIAÇÕES/ACOMPANHAMENTOS,,,,,
20101015,Acompanhamento clínico ambulatorial pós-transplante renal - por avaliação,39.12,0,0,0,0
20101023,Análise da proporcionalidade cineantropométrica,7.48,0,0,0,0
20101074,Avaliação nutricional (inclui consulta),52.76,0,0,0,0
20101082,Avaliação nutricional pré e pós-cirurgia bariátrica (inclui consulta),33.34,0,0,0,0
20101090,Avaliação da composição corporal por antropometria (inclui consulta),39.27,0,0,0,0
20101104,Avaliação da composição corporal por bioimpedanciometria,14.96,0,0,0,0
20101171,Rejeição de enxerto renal - tratamento ambulatorial - avaliação clínica diária,39.12,0,0,0,0
20101201,Avaliação clínica e eletrônica de paciente portador de marca-passo ou sincronizador ou desfibrilador,49.43,0,0,0,0
20101210,Acompanhamento clínico ambulatorial pós-transplante de córnea,41.14,0,0,0,0
20101228,Acompanhamento clínico ambulatorial pós-transplante de medula óssea,41.14,0,0,0,0
20102003,PROCEDIMENTOS CLÍNICOS (AMBULATORIAIS) - MONITORIZAÇÕES,,,,,
20102011,Holter de 24 horas - 2 ou mais canais - analógico,120.96,0,0,0,0
20102020,Holter de 24 horas - 3 canais - digital,120.96,0,0,0,0
20102038,Monitorização ambulatorial da pressão arterial - MAPA (24 horas),106.49,0,0,0,0
20102062,Monitor de eventos sintomáticos por 15 a 30 dias (LOOPER),161.2,0,0,0,0
20102070,Tilt teste,137.93,0,0,0,0
20103000,PROCEDIMENTOS CLÍNICOS (AMBULATORIAIS) - REABILITAÇÕES/SESSÕES,,,,,
20103018,Adaptação e treinamento de recursos ópticos para visão subnormal (por sessão) - binocular,13.41,0,0,0,0
20103026,Amputação bilateral (preparação do coto),8.24,0,0,0,0
20103034,Amputação bilateral (treinamento protético),9.89,0,0,0,0
20103042,Amputação unilateral (preparação do coto),5.28,0,0,0,0
20103050,Amputação unilateral (treinamento protético),8.24,0,0,0,0
20103069,Assistência fisiátrica respiratória em pré e pós-operatório de condições cirúrgicas,4.95,0,0,0,0
20103077,Ataxias,4.62,0,0,0,0
20103093,Atendimento fisiátrico no pré e pós-operatório de pacientes para prevenção de seqüelas,5.28,0,0,0,0
20103107,Atendimento fisiátrico no pré e pós-parto,5.28,0,0,0,0
20103131,Biofeedback com EMG,16.49,0,0,0,0
20103140,Bloqueio fenólico. alcoólico ou com toxina botulínica (de pontos motores) - por membro ou segmento corporal,28.86,0,0,0,0
20103158,Confecção de órteses em material termo-sensível (por unidade),7.8,0,0,0,0
20103166,Confecção de prótese imediata,49.47,0,0,0,0
20103174,Confecção de prótese provisória,41.22,0,0,0,0
20103182,Desvios posturais da coluna vertebral,6.6,0,0,0,0
20103190,Disfunção vésico-uretral,11.54,0,0,0,0
20103204,Distrofia simpático-reflexa,6.6,0,0,0,0
20103212,Distúrbios circulatórios artério-venosos e linfáticos,4.62,0,0,0,0
20103220,Doenças pulmonares atendidas em ambulatório,5.28,0,0,0,0
20103239,Exercícios de ortóptica (por sessão),8.62,0,0,0,0
20103247,Exercícios para reabilitação do asmático (ERAC) - por sessão coletiva,4.36,0,0,0,0
20103255,Exercícios para reabilitação do asmático (ERAI) - por sessão individual,8.73,0,0,0,0
20103263,Hemiparesia,6.6,0,0,0,0
20103271,Hemiplegia,6.6,0,0,0,0
20103280,Hemiplegia e hemiparesia com afasia,6.6,0,0,0,0
20103298,Hipo ou agenesia de membros,6.6,0,0,0,0
20103301,Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo),27.43,0,0,0,0
20103310,Lesão nervosa periférica afetando mais de um nervo com alterações sensitivas e/ou motoras,5.28,0,0,0,0
20103328,Lesão nervosa periférica afetando um nervo com alterações sensitivas e/ou motoras,4.12,0,0,0,0
20103344,Miopatias,8.24,0,0,0,0
20103360,Paciente com D.P.O.C. em atendimento ambulatorial necessitando reeducação e reabilitação respiratória,5.28,0,0,0,0
20103379,Paciente em pós-operatório de cirurgia cardíaca. atendido em ambulatório. duas a três vezes por semana,4.95,0,0,0,0
20103387,Pacientes com doença isquêmica do coração. atendido em ambulatório de 8 a 24 semanas,4.95,0,0,0,0
20103395,Pacientes com doença isquêmica do coração. atendido em ambulatório. até 8 semanas de programa,5.77,0,0,0,0
20103409,Pacientes com doenças neuro-músculo-esqueléticas com envolvimento tegumentar,8.24,0,0,0,0
20103417,Pacientes sem doença coronariana clinicamente manifesta. mas considerada de alto  risco.  atendido  em ambulatório. duas a três vezes por semana,3.3,0,0,0,0
20103425,Paralisia cerebral,8.24,0,0,0,0
20103433,Paralisia cerebral com distúrbio de comunicação,9.89,0,0,0,0
20103441,Paraparesia/tetraparesia,9.89,0,0,0,0
20103450,Paraplegia e tetraplegia,9.89,0,0,0,0
20103468,Parkinson,6.6,0,0,0,0
20103476,Patologia neurológica com dependência de atividades da vida diária,11.54,0,0,0,0
20103484,Patologia osteomioarticular em um membro,4.62,0,0,0,0
20103492,Patologia osteomioarticular em dois ou mais membros,8.24,0,0,0,0
20103506,Patologia osteomioarticular em um segmento da coluna,4.62,0,0,0,0
20103514,Patologia osteomioarticular em diferentes segmentos da coluna,8.24,0,0,0,0
20103522,Patologias osteomioarticulares com dependência de atividades da vida diária,8.24,0,0,0,0
20103530,Recuperação funcional pós-operatória ou por imobilização da patologia vertebral,7.42,0,0,0,0
20103565,Processos inflamatórios pélvicos,2.47,0,0,0,0
20103611,Queimados - seguimento ambulatorial para prevenção de seqüelas (por segmento),8.24,0,0,0,0
20103620,Reabilitação de paciente com endoprótese,9.27,0,0,0,0
20103638,Reabilitação labiríntica (por sessão),13.34,0,0,0,0
20103646,Reabilitação perineal com biofeedback,16.49,0,0,0,0
20103654,Recuperação funcional de distúrbios crânio-faciais,4.62,0,0,0,0
20103662,Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando um membro,7.42,0,0,0,0
20103670,Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando mais de um membro,9.07,0,0,0,0
20103689,Retardo do desenvolvimento psicomotor,8.24,0,0,0,0
20103697,Seqüelas de traumatismos torácicos e abdominais,4.62,0,0,0,0
20103700,Seqüelas em politraumatizados (em diferentes segmentos),9.07,0,0,0,0
20103719,Sinusites,2.47,0,0,0,0
20103727,Reabilitação  cardíaca supervisionada. Programa de 12 semanas. Duas a três sessões por semana (por sessão),3.3,0,0,0,0
20104006,PROCEDIMENTOS CLÍNICOS (AMBULATORIAIS) - TERAPÊUTICA,,,,,
20104014,Actinoterapia (por sessão),9.78,0,0,0,0
20104022,Aplicação de hipossensibilizante - em consultório (AHC) exclusive o alérgeno - planejamento técnico para,2.97,0,0,0,0
20104049,Cateterismo vesical em retenção urinária,24.46,0,0,0,0
20104057,Cauterização química vesical,57.8,0,0,0,0
20104065,Cerumen - remoção (bilateral),24.94,0,0,0,0
20104073,Crioterapia (grupo de até 5 lesões),49.9,0,0,0,0
20104081,Curativos em geral com anestesia. exceto queimados,12.22,0,0,0,0
20104090,Curativo de extremidades de origem vascular,39.12,0,0,0,0
20104103,Curativos em geral sem anestesia. exceto queimados,12.22,0,0,0,0
20104111,Dilatação uretral (sessão),44.61,0,0,1,0
20104120,Fototerapia com UVA (PUVA) (por sessão),24.46,0,0,0,0
20104138,Imunoterapia específica - 30 dias - planejamento técnico,60.33,0,0,0,0
20104146,Imunoterapia inespecífica - 30 dias - planejamento técnico,60.33,0,0,0,0
20104154,Instilação vesical ou uretral,24.46,0,0,0,0
20104189,Sessão de oxigenoterapia hiperbárica (por sessão de 2 horas),245,0,0,0,0
20104200,Sessão de psicoterapia de grupo (por paciente),11.52,0,0,0,0
20104219,Sessão de psicoterapia individual,34.57,0,0,0,0
20104227,Sessão de psicoterapia infantil,38.03,0,0,0,0
20104235,Terapia inalatória - por nebulização,6.12,0,0,0,0
20104243,Terapia oncológica com altas doses - planejamento e 1º dia de tratamento,120.65,0,0,0,0
20104251,Terapia oncológica com altas doses - por dia subseqüente de tratamento,19.31,0,0,0,0
20104260,Terapia oncológica com aplicação de medicamentos por via intracavitária ou intratecal  - por procedimento,65.15,0,0,0,0
20104278,Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas - planejamento e 1º dia de tratamento,120.65,0,0,0,0
20104286,Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas - por dia subseqüente de tratamento,19.31,0,0,0,0
20104294,Terapia oncológica - planejamento e 1º dia de tratamento,78.18,0,0,0,0
20104308,Terapia oncológica - por dia subseqüente de tratamento,14.41,0,0,0,0
20104316,Curativo de ouvido (cada),14.66,0,0,0,0
20104324,Curativo oftalmológico,12.22,0,0,0,0
20104383,Pulsoterapia / terapia imunológica intravenosa (por sessão) - ambulatorial,138.39,0,0,0,0
20105002,PROCEDIMENTOS CLÍNICOS (AMBULATORIAIS) - OUTROS,,,,,
20201001,PROCEDIMENTOS CLÍNICOS (HOSPITALARES) - AVALIAÇÕES/ACOMPANHAMENTOS,,,,,
20201010,Acompanhamento clínico de transplante renal no período de internação do receptor e do doador (pós-operatório até 15 dias),2.783.33,0,0,0,0
20201028,Acompanhamento peroperatório,39.27,0,0,0,0
20201036,Assistência cardiológica peroperatória em cirurgia geral e em parto (primeira hora),40.57,0,0,0,0
20201044,Assistência cardiológica peroperatória em cirurgia geral e em parto (horas suplementares) - máximo de 4 horas,20.28,0,0,0,0
20201052,Cardioversão elétrica eletiva (avaliação clínica. eletrocardiográfica. indispensável à desfibrilação),60.85,0,0,0,0
20201060,Rejeição de enxerto renal - tratamento internado - avaliação clínica diária - por visita,35.69,0,0,0,0
20201087,Tratamento  conservador  de  traumatismo  cranioencefálico. hipertensão  intracraniana  e  hemorragia (por dia),89.22,0,0,0,0
20201095,Assistência cardiológica no pós-operatório de cirurgia cardíaca (após a alta da UTI),27.2,0,0,0,0
20201109,Avaliação clínica diária enteral,48.27,0,0,0,0
20201117,Avaliação clínica diária parenteral,96.52,0,0,0,0
20201125,Avaliação clínica diária parenteral e enteral,120.65,0,0,0,0
20202008,PROCEDIMENTOS CLÍNICOS (HOSPITALARES) - MONITORIZAÇÕES,,,,,
20202016,Cardiotocografia anteparto,30.42,0,0,0,0
20202024,Cardiotocografia intraparto (por hora) até 6 horas externa,53.6,0,0,0,0
20202032,Monitorização hemodinâmica invasiva (por 12 horas),38.04,0,0,0,0
